K,layers,hidden_channels,out_channels,norm,lr,treatment,dropout,ratio,seed,aggregation,model_type,batch_size,rate_pairs,reliable_mini_batch,clusters,accuracy,f1,recall,precision,losses,f1_std,sampling,sampling_k,num_epochs,anomaly_detector
7.0,2.0,256.0,256.0,,0.0091796864244778,removal,0.0,0.2357706857480928,366.6,sum,GCNConv,10.0,12.0,1.0,100.0,0.9450516986706056,0.9064911670877928,0.8819070904645476,0.9325141512509116,"[9.683533310890198, 10.524458646774292, 9.80202704668045, 9.407855987548828, 9.032375872135162, 8.643994569778442, 8.301288485527039, 7.900980830192566, 7.960893601179123, 7.60006982088089, 7.295340716838837, 6.895213782787323, 6.364173889160156, 6.0488468408584595, 5.723369508981705, 5.474753826856613, 4.9048546850681305, 4.900366693735123, 4.622416079044342, 4.276661068201065, 4.26768633723259, 4.040286660194397, 3.5906289517879486, 3.5217401683330536, 3.386017471551895, 3.0630289912223816, 2.930443599820137, 2.7799112051725388, 2.616364002227783, 2.5033176094293594, 2.437832161784172, 2.3804337084293365, 2.1382138580083847, 2.0599847584962845, 1.8997679650783539, 1.884767934679985, 1.8538629710674286, 1.7185436487197876, 1.7251097112894058, 1.6584230363368988, 1.550133541226387, 1.5009529143571854, 1.4149110987782478, 1.3437515869736671, 1.294879324734211, 1.283571995794773, 1.2069302424788475, 1.1639877632260323, 1.1540158465504646, 1.0896523147821426]",0.0059957547393499734,,,,
9.0,2.0,256.0,256.0,,0.009219719444749,removal,0.0,0.2297515950922553,366.6,sum,GCNConv,10.0,12.0,1.0,100.0,0.9437223042836042,0.9038974387508618,0.8765281173594133,0.9331340149245658,"[11.025129497051239, 12.057486295700073, 11.239533305168152, 10.747805893421173, 10.406965553760529, 9.92681074142456, 9.540465533733368, 9.14365041255951, 9.261526703834534, 8.93781167268753, 8.67564481496811, 8.148509323596954, 7.610735177993774, 7.268776148557663, 6.915117084980011, 6.672911137342453, 5.994247734546661, 6.058706909418106, 5.7426373064517975, 5.329587340354919, 5.365715891122818, 5.0760223269462585, 4.518582671880722, 4.436951220035553, 4.2706625163555145, 3.860800564289093, 3.6851311028003693, 3.4990460127592087, 3.28953318297863, 3.1426442563533783, 3.050574153661728, 2.989530459046364, 2.669746473431587, 2.566481113433838, 2.367278978228569, 2.3435610085725784, 2.2981084138154984, 2.121825262904167, 2.131212368607521, 2.038881704211235, 1.9014636427164078, 1.8427315056324005, 1.7345988601446152, 1.6442109048366547, 1.5829312056303024, 1.5644754394888878, 1.4657636135816574, 1.4133106023073196, 1.401184007525444, 1.31711695343256]",0.0069803484857104735,,,,
9.0,2.0,256.0,256.0,,0.0091779504767131,removal,0.0,0.2224604324933725,366.6,sum,GCNConv,10.0,12.0,1.0,100.0,0.9437223042836042,0.9030863370226268,0.8684596577017114,0.9406490772408013,"[11.017319321632385, 12.021059215068817, 11.271384179592133, 10.721162557601929, 10.344262778759003, 9.949833273887634, 9.551826179027557, 9.117731809616089, 9.228519260883331, 8.934598922729492, 8.653105914592743, 8.164758443832397, 7.59306675195694, 7.289140343666077, 6.9343613386154175, 6.680004388093948, 6.014574021100998, 6.101215988397598, 5.774630486965179, 5.329879999160767, 5.369089722633362, 5.082396298646927, 4.522940009832382, 4.439860433340073, 4.267513871192932, 3.8831438422203064, 3.698756217956543, 3.519371882081032, 3.30935400724411, 3.168501377105713, 3.0641990303993225, 3.0054080188274384, 2.6851859241724014, 2.5832174122333527, 2.3749366849660873, 2.359331324696541, 2.3118195682764053, 2.1341278105974197, 2.1455840915441513, 2.052553653717041, 1.9184178411960602, 1.8534238189458847, 1.7443054765462875, 1.6573544293642044, 1.5922219976782799, 1.573295883834362, 1.4760803952813148, 1.424545757472515, 1.4085602015256882, 1.324618399143219]",0.009058793057685893,,,,
9.0,2.0,256.0,256.0,,0.0092291065592092,removal,0.0,0.2343093738437733,366.6,sum,GCNConv,10.0,14.0,1.0,100.0,0.9426883308714918,0.9029422093238724,0.882640586797066,0.9242147530187103,"[11.092004597187042, 12.117808938026428, 11.269780814647675, 10.80434399843216, 10.4628946185112, 9.983447253704071, 9.58854854106903, 9.16818881034851, 9.28429639339447, 8.967391788959503, 8.691453695297241, 8.162250876426697, 7.626948297023773, 7.269841969013214, 6.932611644268036, 6.686898648738861, 6.019874632358551, 6.084557324647903, 5.7429279088974, 5.350874990224838, 5.387690782546997, 5.0869932770729065, 4.5287182331085205, 4.445722222328186, 4.279175013303757, 3.872133255004883, 3.6920862048864365, 3.504094287753105, 3.293723985552788, 3.146792709827423, 3.052423909306526, 2.9948390424251556, 2.6748445630073547, 2.572201907634735, 2.372137561440468, 2.347422882914543, 2.301385745406151, 2.1236125081777573, 2.1338777393102646, 2.0408902317285538, 1.9051740020513535, 1.8491843491792679, 1.7377155721187592, 1.6496639251708984, 1.5853958874940872, 1.567055106163025, 1.4679796770215034, 1.4162883013486862, 1.4006831422448158, 1.3203790932893753]",0.004783490755442826,,,,
8.0,2.0,256.0,256.0,,0.0092438806535711,removal,0.0,0.2281564530672701,366.6,sum,GCNConv,10.0,14.0,1.0,100.0,0.9420236336779911,0.9011593572871627,0.8753056234718827,0.9286397827129731,"[10.422083258628845, 11.289634644985199, 10.595857799053192, 10.147472202777863, 9.75435882806778, 9.392458409070969, 8.984784305095673, 8.577531933784485, 8.645333766937256, 8.323340475559235, 8.014952957630157, 7.564888656139374, 7.010690093040466, 6.674405157566071, 6.326699376106262, 6.101359575986862, 5.490691035985947, 5.508576512336731, 5.1803092658519745, 4.803291380405426, 4.810248076915741, 4.535775184631348, 4.0462287068367, 3.969163328409195, 3.807078033685684, 3.450548470020294, 3.292664796113968, 3.130351275205612, 2.938895672559738, 2.809270143508911, 2.734581172466278, 2.6687055975198746, 2.385685995221138, 2.302038311958313, 2.1191090047359467, 2.1050700694322586, 2.058028683066368, 1.9092904329299927, 1.9219331592321396, 1.8378959596157074, 1.7136416882276535, 1.6690862625837326, 1.564411237835884, 1.4869764298200607, 1.4288154244422913, 1.4188333451747894, 1.3301668241620064, 1.2854243963956833, 1.2684410065412521, 1.2003525495529175]",0.008347815577774243,,,,
12.0,2.0,256.0,256.0,,0.0087307159369043,removal,0.0,0.2237660239361683,366.6,sum,GCNConv,10.0,10.0,1.0,100.0,0.9416543574593795,0.8996810241387635,0.8665036674816626,0.9355512145727378,"[12.735853612422943, 14.06026405096054, 13.158901751041412, 12.48175299167633, 12.209951877593994, 11.736590564250946, 11.294804811477661, 10.875239133834839, 11.057833313941956, 10.83929055929184, 10.619770467281342, 9.968444287776947, 9.350681364536285, 8.998010456562042, 8.723691642284393, 8.455676198005676, 7.675339728593826, 7.9536556005477905, 7.590814173221588, 7.102673709392548, 7.286707162857056, 6.9163510501384735, 6.249459266662598, 6.194085508584976, 6.0023335218429565, 5.475385546684265, 5.25605446100235, 5.028831496834755, 4.7417919635772705, 4.5620880126953125, 4.458017289638519, 4.362165421247482, 3.888686090707779, 3.7468016147613525, 3.4480034708976746, 3.4273144006729126, 3.3539534509181976, 3.089541718363762, 3.102573573589325, 2.9681784212589264, 2.7546942681074142, 2.6635886877775192, 2.5038204342126846, 2.374550297856331, 2.2701843827962875, 2.2555340975522995, 2.1016627848148346, 2.021794855594635, 1.9928214102983475, 1.882208064198494]",0.009780471667446245,,,,
9.0,2.0,256.0,256.0,,0.0082086350617858,removal,0.0,0.196743913747843,366.6,sum,GCNConv,10.0,14.0,1.0,100.0,0.9412850812407682,0.8968960870350443,0.845965770171149,0.9544638741638518,"[11.396848678588867, 12.320142984390259, 11.524800956249237, 11.142479002475739, 10.722342848777771, 10.325717031955719, 9.969328224658966, 9.517514050006866, 9.738495886325836, 9.465481340885162, 9.24279499053955, 8.702390134334564, 8.119002223014832, 7.855767130851746, 7.545079708099365, 7.322629153728485, 6.652989953756332, 6.788789451122284, 6.45555853843689, 6.034292757511139, 6.156053423881531, 5.8462066650390625, 5.2664684653282166, 5.1899502873420715, 5.012118607759476, 4.567847579717636, 4.406547397375107, 4.213479429483414, 3.969702899456024, 3.8225723206996918, 3.703698009252548, 3.6480719447135925, 3.278633952140808, 3.1591808795928955, 2.9247736632823944, 2.8946087062358856, 2.833201050758362, 2.6183286011219025, 2.647813096642494, 2.5224110037088394, 2.364488959312439, 2.285674899816513, 2.161904290318489, 2.0558391362428665, 1.9675806611776352, 1.9385541677474976, 1.828872688114643, 1.762082278728485, 1.7408406138420105, 1.643376663327217]",0.009896487088539265,,,,
10.0,2.0,256.0,256.0,,0.0084073960963666,removal,0.0,0.1979841811061537,366.6,sum,GCNConv,10.0,4.0,1.0,100.0,0.9410635155096012,0.8960667303693273,0.8418092909535453,0.958057527489632,"[12.013548791408539, 12.996600866317749, 12.279950857162476, 11.715506434440613, 11.373719990253448, 10.906289935112, 10.494676172733307, 10.095336258411407, 10.278818190097809, 10.04324620962143, 9.783934831619263, 9.161661446094513, 8.621017098426819, 8.360241293907166, 8.014557659626007, 7.776373088359833, 7.065393537282944, 7.234635353088379, 6.909870982170105, 6.440376818180084, 6.598673939704895, 6.2691188752651215, 5.65750178694725, 5.58458149433136, 5.395360022783279, 4.903693825006485, 4.738077402114868, 4.518267393112183, 4.25929868221283, 4.101163059473038, 3.9803576171398163, 3.925675004720688, 3.516678601503372, 3.382831245660782, 3.1305244266986847, 3.0976844429969788, 3.034748688340187, 2.802248954772949, 2.8194156289100647, 2.692590653896332, 2.520466908812523, 2.436372697353363, 2.2993208467960358, 2.183306410908699, 2.0881096869707108, 2.0630196034908295, 1.9345697909593582, 1.8626397401094437, 1.8450546711683273, 1.742802619934082]",0.008811743117296272,,,,
10.0,2.0,256.0,256.0,,0.0087419473065535,removal,0.0,0.1922243655848708,366.6,sum,GCNConv,10.0,11.0,1.0,100.0,0.9409158050221565,0.8956811346330898,0.8403422982885086,0.9589786359315313,"[11.783874809741974, 12.799245536327362, 12.016929805278778, 11.500712096691132, 11.148355662822723, 10.743392169475555, 10.300516247749329, 9.888986706733704, 10.033498585224152, 9.791310548782349, 9.514465510845184, 9.016151309013367, 8.389053881168365, 8.102595210075378, 7.738825678825378, 7.503163158893585, 6.799444377422333, 7.00378030538559, 6.613994538784027, 6.1677029728889465, 6.281112551689148, 5.950377315282822, 5.347137451171875, 5.28761088848114, 5.091922640800476, 4.610923498868942, 4.432353913784027, 4.239941030740738, 3.98629167675972, 3.8244045674800873, 3.7219179570674896, 3.6418913304805756, 3.2409104108810425, 3.1313327252864838, 2.887113079428673, 2.85468690097332, 2.799254670739174, 2.5848652869462967, 2.604473516345024, 2.4826644361019135, 2.315696120262146, 2.2333947718143463, 2.10542693734169, 2.0035113096237183, 1.9158388823270798, 1.89330293238163, 1.7720087170600891, 1.7146899849176407, 1.6926507204771042, 1.5950160026550293]",0.00999585929106438,,,,
9.0,2.0,256.0,256.0,,0.0093513336115895,removal,0.0,0.22302333614521758,366.6,sum,GCNConv,10.0,12.0,1.0,100.0,0.9379615952732644,0.8936197461458688,0.863080684596577,0.9264697557251281,"[11.050804078578949, 12.005153715610504, 11.281096756458282, 10.72669529914856, 10.34344208240509, 9.978816747665405, 9.547523736953735, 9.105704009532928, 9.17841649055481, 8.901162922382355, 8.595003545284271, 8.106185138225555, 7.517409801483154, 7.201767027378082, 6.848725318908691, 6.593395352363586, 5.942387819290161, 6.018334865570068, 5.6475227773189545, 5.24590528011322, 5.268091410398483, 4.9737522304058075, 4.441286146640778, 4.366380006074905, 4.168206214904785, 3.791464865207672, 3.6155195236206055, 3.438978537917137, 3.218213975429535, 3.079574480652809, 2.992606595158577, 2.9224367886781693, 2.6152793914079666, 2.512025073170662, 2.309830069541931, 2.292596384882927, 2.242826744914055, 2.0726569145917892, 2.0844591856002808, 1.9900869131088257, 1.8617723137140274, 1.8027193397283554, 1.6925625503063202, 1.6085234135389328, 1.548625186085701, 1.5257133916020393, 1.4328932464122772, 1.3830609917640686, 1.3638973087072372, 1.2890026345849037]",0.010828768072709254,,,,
